PMID,PMCID,Sentences,Gene,Chemicals,interaction_type,Regulation
23012370,3501066," An elastin degradation model of pseudoalterin was proposed, based on these results and scanning electron microscopic analysis of the degradation by pseudoalterin of bovine elastin and cross-linked recombinant tropoelastin.; The formation of elastin is classically characterized by four stages as follows: tropoelastin synthesis and secretion, association through coacervation, deposition on microfibrils, and cross-linking (2).;  Secreted tropoelastin molecules are ∼15-nm asymmetric monomers that aggregate on the cell surface to form spherules through coacervation by hydrophobic interactions (3–6).;  In vitro observation of coacervated recombinant tropoelastin has demonstrated that this association is a noncovalent process that can by reversed by simple changes in environmental conditions such as temperature and salt (7).;  Lysine residues on the massed tropoelastin spherules are oxidized and polymerized to bi-, tri-, and tetrafunctional cross-links, including desmosine (DES)2 and isodesmosine (IDE), to form native elastin networks with the participation of lysyl oxidase (8).;  Various sizes of tropoelastin aggregates before being cross-linked have been identified in vitro, ranging from ∼200 nm to 2–6 μm (2, 5, 9, 10).; Human tropoelastin is translated from a single gene and spliced to multiple isoforms.;  Additionally, chemical cross-linker bis(sulfosuccinimidyl) suberate (BS3) has been used to cross-link the SHELdelta26A tropoelastin to study the structural features of tropoelastin monomer (10).;  For this reason, elastin is recognized as a preferred substrate for the M23 proteases because there are ∼33% glycine residues in the tropoelastin sequence (33).; Recombinant human tropoelastin isoform SHELdelta26A was purified as described previously (12, 45).;  The cross-linked tropoelastin was washed with the PBS repeatedly, followed by hydrolysis with 0.1 mg/ml pseudoalterin for 10 and 15 min at 25 °C.; To confirm the cleavage sites analyzed above, based on the sequence of bovine tropoelastin in the database (SwissProt accession number P04985-1), four peptides (GVGVAP, IGGGAGG, GIGLGP, and PGAGARF) in the hydrophobic regions and two typical peptides (AAAKAA and AAAAAKAAAK) in the hydrophilic regions were synthesized to assess their efficacy as potential substrates for pseudoalterin.; On this basis, the cleavage sites of pseudoalterin on bovine tropoelastin are shown in Fig. 5.; Cleavage sites by pseudoalterin on bovine tropoelastin (SwissProt accession number P04985-1).;  Cleavage sites were determined by analysis of the sequences of peptides released by pseudoalterin from bovine elastin as shown in supplemental Table S3, and the cleavage sites of pseudoalterin on six peptides were synthesized according to the sequence of bovine tropoelastin as shown in Fig. 3.; To model the degradation of elastin by pseudoalterin, human tropoelastin was expressed and purified and then chemically cross-linked in vitro.;  After cross-linking, the tropoelastin spherules were linked into clusters or filaments like beads on a string under SEM (Fig. 6A).;  When the cross-linked tropoelastin spherules were incubated with pseudoalterin for 10 min, physical contacts between the spherules dissipated or fractured (Fig. 6B).;  After 15 min of incubation, most clusters separated into single spherules (Fig. 6C), and some spherules began to reveal ∼15 nm substructures, i.e. the size of tropoelastin monomers (Fig. 6D).; Degradation of recombinant tropoelastin cross-linking clusters by pseudoalterin.
A, 10 mg/ml tropoelastin following incubation with 10 mm BS3 in 10 mm PBS for 30 min.;  Spherules comprising coacervated and partly degraded elastin are digested into scattered damaged elastin species around the same size as tropoelastin (E), which are further hydrolyzed to yield small peptides due to the continued attack by pseudoalterin on Gly-Xaa sites in the hydrophobic regions (F).;  Blue balls, coacervate spherules; orange balls, tropoelastin monomers; red broken lines indicate the potential cleavage sites of pseudoalterin in the cross-linking regions of elastin.;  Further analysis with six peptides synthesized according to the bovine tropoelastin sequence showed that pseudoalterin also cleaves the peptide bonds Ala–Ala and Lys–Ala, which are found in the hydrophilic elastin cross-linking domains.;  Moreover, as a model system with defined components, degradation of pseudoalterin of the chemical cross-links between recombinant tropoelastin spherules was directly observed under SEM, and it provided strong evidence for the same conclusion.; It is worth reiterating that, as stated in the Introduction, specific steps in the assembly of tropoelastin in vivo remain unclear.;  At the late stage of cross-linked tropoelastin degradations that were seen here, particles were released that were similar to the size of the tropoelastin monomer.;  By using pseudoalterin to dissect components of the native elastic fiber, it could be speculated that tropoelastin monomers interconvert with ∼150-nm spherules by initial coacervation, then into 2–3-μm spheres accompanied by progressive cross-linking (3), and association with microfibrils where they are cross-linked into networked elastic fibers.",tropoelastin,nitrogen,,up
18626013,2464617," CO2 sequestration in established sediment-covered basalt aquifers on the Juan de Fuca plate offer promising locations to securely accommodate more than a century of future U.S. emissions, warranting energized scientific research, technological assessment, and economic evaluation to establish a viable pilot injection program in the future.;  Photograph of deep-sea pillow lavas emplaced on the ocean bottom near the Juan de Fuca ridge (data from cruise AT11-16, Alvin Dive 4045; http://4dgeo.whoi.edu).; The eastern flanks of the Endeavor and Blanco segments of the Juan de Fuca ridge, situated within a few hundred kilometers of Vancouver Island, Oregon, and Washington, are known to contain highly fractured, channelized, and highly porous (10–15%) basalt basement that is widely blanketed by impermeable fine-grained turbidities and hemipelagic clay sediments (31).;  Recently drilled on the Juan de Fuca plate, Site U1301 illustrates the variability of porosity with depth in basalt basement as computed by using in situ geophysical logs (Fig. 2).; In situ basement temperatures of 62–64°C measured in adjoining drill holes across the Juan de Fuca plate are nearly isothermal, suggesting vigorous hydrothermal circulation (33).;  Surface heat flow surveys identify a recharge site with depressed isotherms at a distant seamount on the Juan de Fuca plate, which implies a lateral bulk permeability of 10−10 to 10−12 m2 in the basement along that flow path (37).;  Evidenced by these studies, in situ fluids circulate laterally within the ocean crust on the Juan de Fuca plate, react with vast volumes of basalt, and remain trapped below ocean sediment for long periods of time.;  Fig. 4 illustrates the extent of the region on the Juan de Fuca plate that satisfies these bathymetric and sediment thickness constraints.;  We restrict the region to avoid natural fluid inflow/outflow areas within 20 km of seamounts, the Juan de Fuca ridge, the Cascadia trench, and the Blanco and Mendocino fracture zones.;  By using the high, model-constrained estimate of 40 m/year lateral flow rate in the shallow crust, this restriction sets a 500-year buffer around potential natural outflow zones on the Juan de Fuca plate to further protect against the possibility of long-term CO2 leakage to the seafloor.;  For example, at the current annual emission rate of 1.7 Gt of carbon per year by the United States (5), the basement on the Juan de Fuca plate alone would provide sufficient CO2 sequestration capacity for 122–147 years, depending on whether all of the injected CO2 converts to carbonate.;  Given its proximity to the U.S. west coast, however, a more realistic scenario may be to assess the Juan de Fuca reservoir as a sequestration option for CO2 sources from western states, via pipeline transport.;  Only through further scientific investigation of these in situ effects can we confidently determine the viability of deep-sea basalt reservoirs such as the Juan de Fuca plate, which offers a geological option with potentially enormous capacity and highly secure CO2 storage.;  The critical step toward these goals is to improve our scientific understanding of the in situ processes that will occur after CO2 injection in deep-sea basalt; the proximity of possible study locations on the Juan de Fuca plate to U.S. ports, potential sources of CO2, and previous deep-sea studies make this area a wise choice for a pilot investigation.",Fuca,CO2,,
18626013,2464617," CO2 sequestration in established sediment-covered basalt aquifers on the Juan de Fuca plate offer promising locations to securely accommodate more than a century of future U.S. emissions, warranting energized scientific research, technological assessment, and economic evaluation to establish a viable pilot injection program in the future.;  Photograph of deep-sea pillow lavas emplaced on the ocean bottom near the Juan de Fuca ridge (data from cruise AT11-16, Alvin Dive 4045; http://4dgeo.whoi.edu).; The eastern flanks of the Endeavor and Blanco segments of the Juan de Fuca ridge, situated within a few hundred kilometers of Vancouver Island, Oregon, and Washington, are known to contain highly fractured, channelized, and highly porous (10–15%) basalt basement that is widely blanketed by impermeable fine-grained turbidities and hemipelagic clay sediments (31).;  Recently drilled on the Juan de Fuca plate, Site U1301 illustrates the variability of porosity with depth in basalt basement as computed by using in situ geophysical logs (Fig. 2).; In situ basement temperatures of 62–64°C measured in adjoining drill holes across the Juan de Fuca plate are nearly isothermal, suggesting vigorous hydrothermal circulation (33).;  Surface heat flow surveys identify a recharge site with depressed isotherms at a distant seamount on the Juan de Fuca plate, which implies a lateral bulk permeability of 10−10 to 10−12 m2 in the basement along that flow path (37).;  Evidenced by these studies, in situ fluids circulate laterally within the ocean crust on the Juan de Fuca plate, react with vast volumes of basalt, and remain trapped below ocean sediment for long periods of time.;  Fig. 4 illustrates the extent of the region on the Juan de Fuca plate that satisfies these bathymetric and sediment thickness constraints.;  We restrict the region to avoid natural fluid inflow/outflow areas within 20 km of seamounts, the Juan de Fuca ridge, the Cascadia trench, and the Blanco and Mendocino fracture zones.;  By using the high, model-constrained estimate of 40 m/year lateral flow rate in the shallow crust, this restriction sets a 500-year buffer around potential natural outflow zones on the Juan de Fuca plate to further protect against the possibility of long-term CO2 leakage to the seafloor.;  For example, at the current annual emission rate of 1.7 Gt of carbon per year by the United States (5), the basement on the Juan de Fuca plate alone would provide sufficient CO2 sequestration capacity for 122–147 years, depending on whether all of the injected CO2 converts to carbonate.;  Given its proximity to the U.S. west coast, however, a more realistic scenario may be to assess the Juan de Fuca reservoir as a sequestration option for CO2 sources from western states, via pipeline transport.;  Only through further scientific investigation of these in situ effects can we confidently determine the viability of deep-sea basalt reservoirs such as the Juan de Fuca plate, which offers a geological option with potentially enormous capacity and highly secure CO2 storage.;  The critical step toward these goals is to improve our scientific understanding of the in situ processes that will occur after CO2 injection in deep-sea basalt; the proximity of possible study locations on the Juan de Fuca plate to U.S. ports, potential sources of CO2, and previous deep-sea studies make this area a wise choice for a pilot investigation.",Fuca,Carbon dioxide,,
18626013,2464617," CO2 sequestration in established sediment-covered basalt aquifers on the Juan de Fuca plate offer promising locations to securely accommodate more than a century of future U.S. emissions, warranting energized scientific research, technological assessment, and economic evaluation to establish a viable pilot injection program in the future.;  Photograph of deep-sea pillow lavas emplaced on the ocean bottom near the Juan de Fuca ridge (data from cruise AT11-16, Alvin Dive 4045; http://4dgeo.whoi.edu).; The eastern flanks of the Endeavor and Blanco segments of the Juan de Fuca ridge, situated within a few hundred kilometers of Vancouver Island, Oregon, and Washington, are known to contain highly fractured, channelized, and highly porous (10–15%) basalt basement that is widely blanketed by impermeable fine-grained turbidities and hemipelagic clay sediments (31).;  Recently drilled on the Juan de Fuca plate, Site U1301 illustrates the variability of porosity with depth in basalt basement as computed by using in situ geophysical logs (Fig. 2).; In situ basement temperatures of 62–64°C measured in adjoining drill holes across the Juan de Fuca plate are nearly isothermal, suggesting vigorous hydrothermal circulation (33).;  Surface heat flow surveys identify a recharge site with depressed isotherms at a distant seamount on the Juan de Fuca plate, which implies a lateral bulk permeability of 10−10 to 10−12 m2 in the basement along that flow path (37).;  Evidenced by these studies, in situ fluids circulate laterally within the ocean crust on the Juan de Fuca plate, react with vast volumes of basalt, and remain trapped below ocean sediment for long periods of time.;  Fig. 4 illustrates the extent of the region on the Juan de Fuca plate that satisfies these bathymetric and sediment thickness constraints.;  We restrict the region to avoid natural fluid inflow/outflow areas within 20 km of seamounts, the Juan de Fuca ridge, the Cascadia trench, and the Blanco and Mendocino fracture zones.;  By using the high, model-constrained estimate of 40 m/year lateral flow rate in the shallow crust, this restriction sets a 500-year buffer around potential natural outflow zones on the Juan de Fuca plate to further protect against the possibility of long-term CO2 leakage to the seafloor.;  For example, at the current annual emission rate of 1.7 Gt of carbon per year by the United States (5), the basement on the Juan de Fuca plate alone would provide sufficient CO2 sequestration capacity for 122–147 years, depending on whether all of the injected CO2 converts to carbonate.;  Given its proximity to the U.S. west coast, however, a more realistic scenario may be to assess the Juan de Fuca reservoir as a sequestration option for CO2 sources from western states, via pipeline transport.;  Only through further scientific investigation of these in situ effects can we confidently determine the viability of deep-sea basalt reservoirs such as the Juan de Fuca plate, which offers a geological option with potentially enormous capacity and highly secure CO2 storage.;  The critical step toward these goals is to improve our scientific understanding of the in situ processes that will occur after CO2 injection in deep-sea basalt; the proximity of possible study locations on the Juan de Fuca plate to U.S. ports, potential sources of CO2, and previous deep-sea studies make this area a wise choice for a pilot investigation.",Fuca,carbon dioxide,,
18626013,2464617," CO2 sequestration in established sediment-covered basalt aquifers on the Juan de Fuca plate offer promising locations to securely accommodate more than a century of future U.S. emissions, warranting energized scientific research, technological assessment, and economic evaluation to establish a viable pilot injection program in the future.;  Photograph of deep-sea pillow lavas emplaced on the ocean bottom near the Juan de Fuca ridge (data from cruise AT11-16, Alvin Dive 4045; http://4dgeo.whoi.edu).; The eastern flanks of the Endeavor and Blanco segments of the Juan de Fuca ridge, situated within a few hundred kilometers of Vancouver Island, Oregon, and Washington, are known to contain highly fractured, channelized, and highly porous (10–15%) basalt basement that is widely blanketed by impermeable fine-grained turbidities and hemipelagic clay sediments (31).;  Recently drilled on the Juan de Fuca plate, Site U1301 illustrates the variability of porosity with depth in basalt basement as computed by using in situ geophysical logs (Fig. 2).; In situ basement temperatures of 62–64°C measured in adjoining drill holes across the Juan de Fuca plate are nearly isothermal, suggesting vigorous hydrothermal circulation (33).;  Surface heat flow surveys identify a recharge site with depressed isotherms at a distant seamount on the Juan de Fuca plate, which implies a lateral bulk permeability of 10−10 to 10−12 m2 in the basement along that flow path (37).;  Evidenced by these studies, in situ fluids circulate laterally within the ocean crust on the Juan de Fuca plate, react with vast volumes of basalt, and remain trapped below ocean sediment for long periods of time.;  Fig. 4 illustrates the extent of the region on the Juan de Fuca plate that satisfies these bathymetric and sediment thickness constraints.;  We restrict the region to avoid natural fluid inflow/outflow areas within 20 km of seamounts, the Juan de Fuca ridge, the Cascadia trench, and the Blanco and Mendocino fracture zones.;  By using the high, model-constrained estimate of 40 m/year lateral flow rate in the shallow crust, this restriction sets a 500-year buffer around potential natural outflow zones on the Juan de Fuca plate to further protect against the possibility of long-term CO2 leakage to the seafloor.;  For example, at the current annual emission rate of 1.7 Gt of carbon per year by the United States (5), the basement on the Juan de Fuca plate alone would provide sufficient CO2 sequestration capacity for 122–147 years, depending on whether all of the injected CO2 converts to carbonate.;  Given its proximity to the U.S. west coast, however, a more realistic scenario may be to assess the Juan de Fuca reservoir as a sequestration option for CO2 sources from western states, via pipeline transport.;  Only through further scientific investigation of these in situ effects can we confidently determine the viability of deep-sea basalt reservoirs such as the Juan de Fuca plate, which offers a geological option with potentially enormous capacity and highly secure CO2 storage.;  The critical step toward these goals is to improve our scientific understanding of the in situ processes that will occur after CO2 injection in deep-sea basalt; the proximity of possible study locations on the Juan de Fuca plate to U.S. ports, potential sources of CO2, and previous deep-sea studies make this area a wise choice for a pilot investigation.",Fuca,water,,
19542347,2725473," To provide further genomic insights into deep-sea planktonic microbes, we sequenced a total of ∼200 Mbp of a random whole-genome shotgun (WGS) library from a microbial community residing at a depth of 4,000 m at Station ALOHA in the Pacific Ocean and compared it to other available WGS sequence data from surface and deep waters.;  For example, the genome of Photobacterium profundum, an organism isolated from a depth of 2,500 m, indicated that metabolic versatility encoded in a rather large genome (6.4 Mbp) (39) and flagellum-based motility (11) might be essential for survival in the deep-sea environment.;  Nonetheless, the relatively shallow sequence coverage of the indigenous communities (∼10 Mbp per library) (10, 25) limited the resolution and depth of the phylogenetic and gene content analyses performed in these previous studies.; To provide more information on the qualitative and quantitative attributes of deep-sea microbial populations, we analyzed ∼200 Mbp of a random whole-genome shotgun (WGS) DNA sequence data library recovered from a microbial community residing at a depth of 4,000 m in the Pacific Ocean and compared it to similar WGS data from surface waters.;  Raes and colleagues have estimated the average genome size for SAR3 and SAR4 to be ∼1.5 to 1.6 Mbp (28); by extrapolation, our estimate based on the method of Raes and colleagues for the 4,000-m-depth microbial community was 2.2 to 2.4 Mbp.; The sequences (about 10 Mbp per library) of the previously published end sequences from the HF libraries (10) were annotated with the FGENESB pipeline, using identical settings as described above for WGS libraries for consistency purposes.;  Using a recently developed method for genome size estimation in WGS data (28), we estimated a 1.35- ± 0.25-fold increase in genome size in bethypelagic versus shallow-water microbial genomes, with an average genome size of 2 to 2.2 Mbp in the deep-water community (Table ​(Table1).1).",Mbp,water,,
20436906,2860499,"We investigated worldwide phylogenetic relationships of deep-sea Bathymodiolus mussels and their mytilid relatives by analyzing nucleotide sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.; In the present study, we investigated worldwide phylogenetic relationships of Bathymodiolus mussels and their mytilid relatives by analyzing concatenated sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.",NADH dehydrogenase subunit 4,water,,
20436906,2860499,"We investigated worldwide phylogenetic relationships of deep-sea Bathymodiolus mussels and their mytilid relatives by analyzing nucleotide sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.; In the present study, we investigated worldwide phylogenetic relationships of Bathymodiolus mussels and their mytilid relatives by analyzing concatenated sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.; Phylogenetic relationships of deep-sea Bathymodiolus mussels based the concatenated 401-bp COI and 423-bp ND4 sequences.;  Concatenated sequence data, however, provided better resolution of the phylogeny of Bathymodiolus mussels and their relatives than those derived from single COI [19] or ND4 [15] sequence data, although some OTUs could not be used because of the lack of sequence data on either gene.;  We used 401-bp COI and 423-bp ND4 sequences, excluding ambiguous sites.",ND4,water,,
20436906,2860499,"We investigated worldwide phylogenetic relationships of deep-sea Bathymodiolus mussels and their mytilid relatives by analyzing nucleotide sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.; In the present study, we investigated worldwide phylogenetic relationships of Bathymodiolus mussels and their mytilid relatives by analyzing concatenated sequences of the mitochondrial cytochrome c oxidase subunit I (COI) and NADH dehydrogenase subunit 4 (ND4) genes.",cytochrome c oxidase subunit I,water,,
22461855,3029455,"Intravitreal bevacizumab (Avastin) has been used off label for various conditions, including proliferative sickle cell retinopathy (PSR).;  Some authors have reported a more rapid resolution of the vitreous haemorrhage in Goldberg stage 4 PSR.;  Following injection of 1.25 mg of bevacizumab in each eye in a case of PSR (right eye with stage 3 sea fan neovascularisation and left eye with organising vitreous haemorrhage), we recently found a surprising association with significant secondary hyphaema on the fifth day post injection in the eye with vitreous haemorrhage.;  The rheological profile of bevacizumab is not clear-cut at the moment and the drug should therefore be used with caution in cases of stage 4 PSR.; We are only just beginning to gain experience with the use intravitreal bevacizumab (Avastin) for various indications,1–3 one of which is proliferative sickle cell retinopathy (PSR).",PSR,Avastin,Agonist,
22461855,3029455,"Intravitreal bevacizumab (Avastin) has been used off label for various conditions, including proliferative sickle cell retinopathy (PSR).;  Some authors have reported a more rapid resolution of the vitreous haemorrhage in Goldberg stage 4 PSR.;  Following injection of 1.25 mg of bevacizumab in each eye in a case of PSR (right eye with stage 3 sea fan neovascularisation and left eye with organising vitreous haemorrhage), we recently found a surprising association with significant secondary hyphaema on the fifth day post injection in the eye with vitreous haemorrhage.;  The rheological profile of bevacizumab is not clear-cut at the moment and the drug should therefore be used with caution in cases of stage 4 PSR.; We are only just beginning to gain experience with the use intravitreal bevacizumab (Avastin) for various indications,1–3 one of which is proliferative sickle cell retinopathy (PSR).",PSR,bevacizumab,Agonist,
21673885,3111178," Sea water penetrates the fissures of the volcanic bed and is heated by magma.;  Seawater seeps into these openings and is heated by the molten rock, or magma, which can reach very high temperatures (up to 400 °C) and then this hydrothermal fluid of heated sea water rises back to the surface dissolving large amounts of minerals which provide a source of energy and nutrients to chemoautotrophic organisms [9–17]. Numerous living organisms have been discovered in these hostile environments including microorganisms (Eubacteria and Archaea) and pluricellular organisms such as shrimps, clams and giant mussels, giant tubeworms, crabs and fishes [18]. These organisms have developed different strategies to ensure their adaptation to these extreme environments.",Sea,CO2,,up
21673885,3111178," Sea water penetrates the fissures of the volcanic bed and is heated by magma.;  Seawater seeps into these openings and is heated by the molten rock, or magma, which can reach very high temperatures (up to 400 °C) and then this hydrothermal fluid of heated sea water rises back to the surface dissolving large amounts of minerals which provide a source of energy and nutrients to chemoautotrophic organisms [9–17]. Numerous living organisms have been discovered in these hostile environments including microorganisms (Eubacteria and Archaea) and pluricellular organisms such as shrimps, clams and giant mussels, giant tubeworms, crabs and fishes [18]. These organisms have developed different strategies to ensure their adaptation to these extreme environments.",Sea,carbon dioxide,,up
21673885,3111178," Sea water penetrates the fissures of the volcanic bed and is heated by magma.;  Seawater seeps into these openings and is heated by the molten rock, or magma, which can reach very high temperatures (up to 400 °C) and then this hydrothermal fluid of heated sea water rises back to the surface dissolving large amounts of minerals which provide a source of energy and nutrients to chemoautotrophic organisms [9–17]. Numerous living organisms have been discovered in these hostile environments including microorganisms (Eubacteria and Archaea) and pluricellular organisms such as shrimps, clams and giant mussels, giant tubeworms, crabs and fishes [18]. These organisms have developed different strategies to ensure their adaptation to these extreme environments.",Sea,water,,up
